regime	mech	metric	opt	driver	arm	seed	acc	forget	probe	g_h0	g_h1	g_out	msd	n_miss	backbone_params	extra_params	param_ratio	buffer_bytes	fwd_train	bwd_train	fwd_infer	bwd_infer
normal	plast	taskil	sgd	grad_weight_ratio	live	42	0.092671	0.705538	0.211500	nan	nan	nan	0.000000	160.000000	478410.000000	2430.000000	0.005100	3144000.000000	2.000000	2.000000	1.000000	0.000000
normal	plast	taskil	sgd	step_norm	live	42	0.994240	0.003059	0.211500	0.000006	0.000001	0.000001	0.000000	1.000000	478410.000000	2430.000000	0.005100	3144000.000000	2.000000	2.000000	1.000000	0.000000
normal	plast	taskil	sgd	state01	live	42	0.992178	0.005527	0.493400	16.496739	4.425822	0.329864	0.035113	0.000000	478410.000000	4860.000000	0.010200	3144000.000000	3.000000	2.000000	1.000000	0.000000
normal	selplast	taskil	sgd	act_frac	live	42	0.981666	0.003293	0.398600	0.025000	0.025000	0.100000	0.027880	0.000000	478410.000000	1620.000000	0.003400	3144000.000000	3.000000	2.000000	1.000000	0.000000
normal	selplast	taskil	sgd	act_norm	live	42	0.981568	0.003284	0.355100	0.025000	0.025000	0.100000	0.160514	0.000000	478410.000000	1620.000000	0.003400	3144000.000000	3.000000	2.000000	1.000000	0.000000
normal	selplast	taskil	sgd	act_entropy	live	42	0.981479	0.003569	0.433900	0.025000	0.020299	0.100000	0.010712	0.000000	478410.000000	1620.000000	0.003400	3144000.000000	3.000000	2.000000	1.000000	0.000000
normal	selplast	taskil	sgd	act_pr	live	42	0.982262	0.002483	0.467500	0.025000	0.032500	0.100000	0.031356	0.000000	478410.000000	1620.000000	0.003400	3144000.000000	3.000000	2.000000	1.000000	0.000000
normal	selplast	taskil	sgd	w_fro	live	42	0.979294	0.002361	0.211500	0.292500	0.302500	0.600000	0.000000	0.000000	478410.000000	2430.000000	0.005100	3144000.000000	2.000000	2.000000	1.000000	0.000000
normal	selplast	taskil	sgd	w_l1	live	42	0.979384	0.002272	0.211500	0.322500	0.340000	0.600000	0.000000	0.000000	478410.000000	2430.000000	0.005100	3144000.000000	2.000000	2.000000	1.000000	0.000000
normal	selplast	taskil	sgd	w_absmean	live	42	0.979384	0.002272	0.211500	0.322500	0.340000	0.600000	0.000000	0.000000	478410.000000	2430.000000	0.005100	3144000.000000	2.000000	2.000000	1.000000	0.000000
